=== HQ RECOMPRESS SUMMARY ===
변환 성공: 283
원본 못 찾음: 0
동명이인/모호함: 0
변환 오류: 0
대상 설정: HERO + STILL / max 2800px / WebP q95
입력 용량 합계: 1230.4 MB
출력 용량 합계: 68.7 MB

=== DETAILS ===
OK | we-gobi-still-05.png -> we-gobi-still-05.webp | 3600x2018 -> 2800x1570 | 5575KB -> 218KB | match=exact-relative
OK | as-you-love-hero.png -> as-you-love-hero.webp | 1786x1032 -> 1786x1032 | 2874KB -> 313KB | match=exact-relative
OK | 지금-우리-학교는2-hero.png -> jigeum-uri-haggyoneun2-hero.webp | 1672x941 -> 1672x941 | 1738KB -> 228KB | match=exact-relative
OK | we-gobi-still-07.png -> we-gobi-still-07.webp | 3600x2018 -> 2800x1570 | 6656KB -> 327KB | match=exact-relative
OK | rang-hero.png -> rang-hero.webp | 3600x1536 -> 2800x1195 | 4002KB -> 133KB | match=exact-relative
OK | noel-still-07.png -> noel-still-07.webp | 3146x2258 -> 2800x2010 | 5440KB -> 312KB | match=exact-relative
OK | m-art-still-02.png -> m-art-still-02.webp | 3600x1532 -> 2800x1192 | 2999KB -> 145KB | match=exact-relative
OK | muchae-still-19.png -> muchae-still-19.webp | 3600x2018 -> 2800x1570 | 7212KB -> 281KB | match=exact-relative
OK | 0-track-still-02.png -> 0-track-still-02.webp | 3600x2016 -> 2800x1568 | 9923KB -> 828KB | match=exact-relative
OK | 0-track-still-03.png -> 0-track-still-03.webp | 3600x2016 -> 2800x1568 | 7969KB -> 467KB | match=exact-relative
OK | muchae-still-18.png -> muchae-still-18.webp | 3600x2018 -> 2800x1570 | 8206KB -> 320KB | match=exact-relative
OK | m-art-still-03.png -> m-art-still-03.webp | 3600x1532 -> 2800x1192 | 3110KB -> 132KB | match=exact-relative
OK | 방주-heterotopia-still-01.jpg -> bangju-heterotopia-still-01.webp | 1080x1440 -> 1080x1440 | 225KB -> 269KB | match=exact-relative
OK | noel-still-06.png -> noel-still-06.webp | 3146x2258 -> 2800x2010 | 3054KB -> 194KB | match=exact-relative
OK | we-gobi-still-06.png -> we-gobi-still-06.webp | 3600x2018 -> 2800x1570 | 5392KB -> 209KB | match=exact-relative
OK | muchae-hero.png -> muchae-hero.webp | 3600x2018 -> 2800x1570 | 7212KB -> 281KB | match=exact-relative
OK | we-gobi-still-02.png -> we-gobi-still-02.webp | 3600x2018 -> 2800x1570 | 5144KB -> 229KB | match=exact-relative
OK | noel-still-02.png -> noel-still-02.webp | 3146x2258 -> 2800x2010 | 2435KB -> 117KB | match=exact-relative
OK | m-art-still-13.png -> m-art-still-13.webp | 3600x1532 -> 2800x1192 | 4157KB -> 218KB | match=exact-relative
OK | m-art-still-07.png -> m-art-still-07.webp | 3600x1532 -> 2800x1192 | 3020KB -> 166KB | match=exact-relative
OK | muchae-still-08.png -> muchae-still-08.webp | 3600x2018 -> 2800x1570 | 5234KB -> 190KB | match=exact-relative
OK | muchae-still-20.png -> muchae-still-20.webp | 3600x2018 -> 2800x1570 | 3675KB -> 151KB | match=exact-relative
OK | 중간계-hero.png -> junggangye-hero.webp | 1672x941 -> 1672x941 | 1147KB -> 127KB | match=exact-relative
OK | 0-track-still-06.png -> 0-track-still-06.webp | 3600x2016 -> 2800x1568 | 8785KB -> 498KB | match=exact-relative
OK | muchae-still-21.png -> muchae-still-21.webp | 3600x2018 -> 2800x1570 | 5480KB -> 226KB | match=exact-relative
OK | muchae-still-09.png -> muchae-still-09.webp | 3600x2018 -> 2800x1570 | 5577KB -> 208KB | match=exact-relative
OK | m-art-still-06.png -> m-art-still-06.webp | 3600x1532 -> 2800x1192 | 3674KB -> 197KB | match=exact-relative
OK | m-art-still-12.png -> m-art-still-12.webp | 3600x1532 -> 2800x1192 | 3893KB -> 193KB | match=exact-relative
OK | noel-still-03.png -> noel-still-03.webp | 3146x2258 -> 2800x2010 | 4580KB -> 216KB | match=exact-relative
OK | we-gobi-still-03.png -> we-gobi-still-03.webp | 3600x2018 -> 2800x1570 | 5402KB -> 239KB | match=exact-relative
OK | 연애는-처음입니다만-hero.png -> yeonaeneun-ceoeumibnidaman-hero.webp | 3579x2013 -> 2800x1575 | 4566KB -> 283KB | match=exact-relative
OK | we-gobi-still-01.png -> we-gobi-still-01.webp | 3600x2018 -> 2800x1570 | 10357KB -> 890KB | match=exact-relative
OK | noel-still-01.png -> noel-still-01.webp | 3146x2258 -> 2800x2010 | 2521KB -> 137KB | match=exact-relative
OK | m-art-still-04.png -> m-art-still-04.webp | 3600x1532 -> 2800x1192 | 4327KB -> 270KB | match=exact-relative
OK | m-art-still-10.png -> m-art-still-10.webp | 3600x1532 -> 2800x1192 | 5157KB -> 216KB | match=exact-relative
